Date,GLD,IWM,QQQ,SPY,TLT
2015-01-02,114.08000183105469,102.78699493408203,94.66506958007812,170.12501525878906,93.36727905273438
2015-01-05,115.80000305175781,101.41279602050781,93.27644348144531,167.05262756347656,94.83399200439453
2015-01-06,117.12000274658203,99.65836334228516,92.02576446533203,165.4791259765625,96.5426254272461
2015-01-07,116.43000030517578,100.88561248779297,93.21209716796875,167.54124450683594,96.35194396972656
2015-01-08,115.94000244140625,102.59683227539062,94.99613189697266,170.51417541503906,95.07600402832031
2015-01-09,117.26000213623047,101.61157989501953,94.37078094482422,169.14779663085938,96.11729431152344
2015-01-12,118.55999755859375,101.2745361328125,93.38680267333984,167.82276916503906,96.66731262207031
2015-01-13,118.16000366210938,101.35231018066406,93.35919952392578,167.35072326660156,96.66731262207031
2015-01-14,117.97000122070312,100.94611358642578,92.8442153930664,166.3404083251953,97.400634765625
2015-01-15,120.94000244140625,99.2435073852539,91.63953399658203,164.8166046142578,98.93323516845703
2015-01-16,122.5199966430664,100.85968780517578,92.7154769897461,166.97804260253906,97.67192077636719
2015-01-20,124.19999694824219,100.43620300292969,93.451171875,167.33416748046875,98.96992492675781
2015-01-21,124.2300033569336,100.11638641357422,93.92936706542969,168.1788330078125,97.82596588134766
2015-01-22,125.2300033569336,102.15604400634766,95.66743469238281,170.67990112304688,97.47396087646484
2015-01-23,124.2300033569336,102.08695220947266,95.87895965576172,169.74403381347656,98.83062744140625
2015-01-26,122.98999786376953,103.07218170166016,95.76861572265625,170.1415557861328,98.52989196777344
2015-01-27,124.4000015258789,102.57955169677734,93.28561401367188,167.8973388671875,98.6839828491211
2015-01-28,123.41999816894531,100.85103607177734,92.80744934082031,165.74415588378906,100.29730224609375
2015-01-29,120.76000213623047,102.24250030517578,93.69945526123047,167.2761993408203,99.63726043701172
2015-01-30,123.44999694824219,99.99540710449219,92.97296905517578,165.17271423339844,101.40463256835938
2015-02-02,122.41999816894531,100.9115219116211,93.7822494506836,167.21823120117188,101.0217514038086
2015-02-03,121.05000305175781,102.71783447265625,94.6834487915039,169.63638305664062,98.88349914550781
2015-02-04,121.58000183105469,102.33755493164062,94.6006851196289,168.9904327392578,99.05244445800781
2015-02-05,121.79000091552734,103.6598892211914,95.41913604736328,170.69644165039062,97.9649429321289
2015-02-06,118.63999938964844,103.54751586914062,94.83977508544922,170.22438049316406,96.23080444335938
2015-02-09,119.16999816894531,102.72649383544922,94.53630828857422,169.4624481201172,96.07649230957031
2015-02-10,118.47000122070312,103.38333892822266,96.0076904296875,171.267822265625,95.31226348876953
2015-02-11,117.06999969482422,103.23637390136719,96.35714721679688,171.36715698242188,95.48859405517578
2015-02-12,117.33999633789062,104.41181182861328,97.47908020019531,173.01524353027344,95.17266845703125
2015-02-13,117.9800033569336,105.0340347290039,98.3159408569336,173.7274169921875,94.19535064697266
2015-02-17,116.01000213623047,105.36250305175781,98.40791320800781,174.00074768066406,92.77717590332031
2015-02-18,116.33999633789062,105.474853515625,98.54584503173828,174.01730346679688,93.32829284667969
2015-02-19,115.94000244140625,105.4834976196289,99.03323364257812,173.89309692382812,92.71100616455078
2015-02-20,115.27999877929688,105.76869201660156,99.6953353881836,174.93653869628906,92.98286437988281
